Date,Positive Tweets,Negative Tweets,Zero,Ticker
2015-01-01,42,-61,0,AMZN
2015-01-02,76,-34,0,AMZN
2015-01-03,28,-8,0,AMZN
2015-01-04,29,-10,0,AMZN
2015-01-05,120,-29,0,AMZN
2015-01-06,92,-29,0,AMZN
2015-01-07,66,-36,0,AMZN
2015-01-08,81,-35,0,AMZN
2015-01-09,76,-23,0,AMZN
2015-01-10,18,-11,0,AMZN
2015-01-11,18,-7,0,AMZN
2015-01-12,96,-37,0,AMZN
2015-01-13,191,-66,0,AMZN
2015-01-14,115,-48,0,AMZN
2015-01-15,94,-37,0,AMZN
2015-01-16,94,-36,0,AMZN
2015-01-17,22,-19,0,AMZN
2015-01-18,25,-14,0,AMZN
2015-01-19,59,-14,0,AMZN
2015-01-20,117,-23,0,AMZN
2015-01-21,242,-67,0,AMZN
2015-01-22,149,-51,0,AMZN
2015-01-23,111,-24,0,AMZN
2015-01-24,34,-14,0,AMZN
2015-01-25,30,-10,0,AMZN
2015-01-26,75,-19,0,AMZN
2015-01-27,90,-31,0,AMZN
2015-01-28,139,-24,0,AMZN
2015-01-29,548,-185,0,AMZN
2015-01-30,539,-194,0,AMZN
2015-01-31,65,-33,0,AMZN
2015-02-01,43,-17,0,AMZN
2015-02-02,142,-47,0,AMZN
2015-02-03,213,-40,0,AMZN
2015-02-04,131,-44,0,AMZN
2015-02-05,163,-47,0,AMZN
2015-02-06,70,-30,0,AMZN
2015-02-07,32,-7,0,AMZN
2015-02-08,25,-7,0,AMZN
2015-02-09,82,-17,0,AMZN
2015-02-10,72,-25,0,AMZN
2015-02-11,58,-25,0,AMZN
2015-02-12,75,-33,0,AMZN
2015-02-13,86,-27,0,AMZN
2015-02-14,28,-9,0,AMZN
2015-02-15,37,-14,0,AMZN
2015-02-16,41,-13,0,AMZN
2015-02-17,55,-18,0,AMZN
2015-02-18,113,-33,0,AMZN
2015-02-19,100,-38,0,AMZN
2015-02-20,83,-27,0,AMZN
2015-02-21,31,-11,0,AMZN
2015-02-22,32,-12,0,AMZN
2015-02-23,63,-31,0,AMZN
2015-02-24,72,-18,0,AMZN
2015-02-25,115,-36,0,AMZN
2015-02-26,102,-35,0,AMZN
2015-02-27,74,-22,0,AMZN
2015-02-28,41,-13,0,AMZN
2015-03-01,21,-11,0,AMZN
2015-03-02,62,-24,0,AMZN
2015-03-03,105,-22,0,AMZN
2015-03-04,84,-39,0,AMZN
2015-03-05,81,-35,0,AMZN
